,wavelength (nm),C,R,G,B
42,510,204.710389649838,9.19090071170681,124.624014666445,83.5182731565395
43,515,208.226654271116,12.2730486935497,139.514055251569,72.4121869848336
44,520,211.201984262337,15.8500670130107,152.075951123636,61.8859962116061
45,525,213.335897816746,19.5355148214967,161.168699951689,52.9322561768637
46,530,215.306525711429,22.5950069159929,166.561477974999,46.4352860250887
47,535,217.279984564139,24.2333698277035,168.240870118045,42.1615971695026
48,540,219.797375127799,24.3448716795242,166.905611753284,39.2867241085518
49,545,223.043993219453,24.109126873207,163.288145778981,36.7202223241975
50,550,225.885254010394,25.5072709713861,156.890905879418,33.6926955004516
51,555,228.271450683998,30.5117906556842,148.305692989301,30.4130945673849
52,560,230.583398667012,40.3420191588029,138.026925379887,27.5543469865984
53,565,233.012186155699,55.6701340454046,126.201729557997,25.6924175414432
54,570,235.101649360737,76.1961364426193,112.574880219069,24.821911146538
55,575,236.649740333157,100.419665627205,97.2178143018699,24.8535547350962
56,580,238.75528252428,126.491489788778,81.1428346307041,25.5666767608688
57,585,240.840534016558,150.239184630413,66.051721124335,26.4990047582568
58,590,242.892000951104,170.929931969401,52.0522531910663,27.1777090672406
59,595,244.375152172866,187.753671554478,39.7922412476674,27.3928469016016
60,600,246.887008097997,202.579837866821,29.7170394413505,27.3565730277272
61,605,250.581601400297,214.989168472954,23.1716633218893,27.3770855154766
62,610,254.117177148777,224.812275446431,19.1800959411597,27.5215862203232
63,615,256.667017999875,232.131808600686,16.9922321226952,27.985330990443
64,620,257.787687401262,236.703265885585,15.8425182043458,28.9976664754984
65,625,259.259372358665,240.552384388485,15.471119449696,31.0736356503591
66,630,259.802477042307,242.728196846776,15.4316550882101,34.1733457806131
67,635,259.031526498949,243.065491125119,15.5190504571191,38.1241833588159
68,640,251.765289033919,236.983866602644,15.3604751159166,41.5595463780785
69,645,235.188520626673,221.897143106471,14.8213790730607,43.3053031211439
70,650,206.839793000032,195.978090401678,13.7895236820438,42.0763412292361
71,655,170.149635166972,162.333985706723,12.3755166612079,37.8410354582913
72,660,130.703290762065,125.968269112322,10.6843824624859,31.4257172723459
73,665,92.1499691703386,89.9344143298556,8.65932467768867,23.6118657108849
74,670,60.1359683687888,59.3451250094362,6.53117314551953,16.0078738688209
75,675,37.2194848789116,37.016058753505,4.7057025528331,9.9453285117339
76,680,24.1330603654156,24.017461455986,3.55098575101691,6.25615499709321
77,685,18.1403102467427,18.0222457586766,3.07103305624316,4.56807868686628
78,690,15.8468599629962,15.8030927068308,3.03895178005214,3.99638293868738
79,695,14.8277872715495,14.8922305193695,3.17004367778039,3.80196067892448
80,700,14.5126098184567,14.6815026179398,3.38058011017051,3.78609425888682
81,705,14.4831391942381,14.7419852210581,3.56549385323324,3.80529346202062
82,710,14.3597319948509,14.679484346337,3.63294410493866,3.73396993199639
83,715,13.9182943665555,14.252807472257,3.53690349927171,3.52674000203504
84,720,13.2249604087964,13.5437987133772,3.34963916112331,3.22127318129436
85,725,12.6083416123307,12.879842423032,3.22659706241455,2.95425713428858
86,730,12.2505565536667,12.4745246447813,3.28689794270163,2.79473884010151
87,735,12.2006103630733,12.3875010913237,3.54798733979136,2.76189088903063
